"model","train_seconds","accuracy","precision","recall","f1","roc_auc"
"lightgbm","4.6","0.8759898945731914","0.8234308236334168","0.9862569487337863","0.8975187698237443","0.9854891369022777"
"xgboost_reference","7.77","0.8753218675606083","0.8230730961286875","0.9853745698402894","0.8969408551951247","0.9842207208200878"
"hist_gradient_boosting","14.48","0.8734999757081087","0.820969610060118","0.9850657372275655","0.8955627976936575","0.9851120645042819"
"catboost","17.18","0.8722732351940922","0.8189797339392385","0.9859481161210624","0.8947410565931976","0.9829309162908607"
"gradient_boosting","224.38","0.864706311033377","0.8096350629357965","0.9861466513720992","0.8892159885426716","0.9795280277520084"
"extra_trees_balanced","1626.4","0.8643905164456105","0.8104228372067669","0.9838524662490074","0.8887560404523489","0.9723519159546027"
"extra_trees","1416.1","0.8634795705193606","0.8095670492517798","0.983367157857584","0.8880433483405713","0.9730417648412554"
"ada_boost_tree","238.74","0.8516858572608463","0.7990717497697434","0.9760654725138974","0.8787448488158482","0.9736602215247983"
"linear_svm_sgd","2.97","0.813608317543604","0.7526881720430108","0.9851760345892526","0.8533812317275906","0.9437547180441714"
"gaussian_nb","0.78","0.5562357285138221","0.9997727272727273","0.19407923762463603","0.3250572674203798","0.701207063621903"
