feature,importance
num__sttl,0.6751299669985452
num__ct_srv_dst,0.061996302842280866
num__sbytes,0.04840681820495802
num__smean,0.0315573231194635
num__ct_srv_src,0.01532362249574182
num__sinpkt,0.01122767820123121
num__synack,0.010456792562106285
num__sload,0.010418788060694477
num__tcprtt,0.009965968272619767
num__stcpb,0.009901157965223287
num__dtcpb,0.009263500820102933
num__ct_dst_src_ltm,0.009054842885584719
num__ackdat,0.00892549260227783
num__dload,0.008501957688243394
num__djit,0.007862775898719762
